"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",6316,0,40631.5106292109,0,0.0790526343663165,0.0122884045147635,57.0705701635493
"2","aménité",1295,93307.1439818312,1007.53947645441,18.1538304206146,0.00196026799418378,0.00251955095734938,11.7014547754586
"3","loisirs",2884,922607.823128677,0,179.502503785474,0,0.00561110807798889,26.0594560404807
"4","bâti",123,128270.570876765,0,24.9563119422629,0,0.000239308700968319,1.11141230685823
"5","environnement",441,139724.403424096,0,27.1847686804827,0,0.000858009244935194,3.98481973434535
"6","agriculture",4,15647.5424176157,0,3.04438459293194,0,7.78239677945754e-06,0.0361434896539261
"7","industrie",4,175253.745916367,0,34.0973546951851,0,7.78239677945754e-06,0.0361434896539261
