"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",1410,134575.352061017,13952.9565504452,21.1275195005136,0.0219053011635958,0.00221361505205035,40.3548941041786
"2","loisirs",744,424119.644827484,1813.1975563267,66.5842290539267,0.00284661092413169,0.00116803517640103,21.2936462507155
"3","religion",231,6719.63719773108,0,1.05494255639822,0,0.000362656082995482,6.6113337149399
"4","aménité",487,136199.104010018,26.1018037557556,21.3824387739252,4.09782593470956e-05,0.000764560659821644,13.9381797366915
"5","industrie",72,122686.738642484,0,19.2610788188631,0,0.000113035662232358,2.06067544361763
"6","bâti",525,138106.936114517,0,21.6819569202589,0,0.000824218370444278,15.0257584430452
"7","environnement",25,66487.5186787517,0,10.4381398667208,0,3.92484938306799e-05,0.715512306811677
