"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",1667,1372.82086560689,6565.27164378491,1.00722482131137,0.0481687358047881,0.012230610848006,51.609907120743
"2","environnement",204,12962.3773369234,0,9.51036549927546,0,0.00149672742231147,6.31578947368421
"3","loisirs",813,43908.723611159,0,32.2153876017239,0,0.00596489899185894,25.1702786377709
"4","aménité",297,19896.0027758209,26.2904665639268,14.597496543606,0.000192890501233294,0.0021790590413064,9.19504643962848
"5","bâti",249,3538.40814970492,0,2.59609436715379,0,0.00182688788311547,7.70897832817337
