"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",8601,0,28803.7043027536,0,0.368634902606928,0.110077119387005,48.4590681165136
"2","environnement",333,25187.8989973327,0,32.23591867268,0,0.00426179290267091,1.87616203729788
"3","bâti",480,91876.8817006547,0,117.585658363779,0,0.00614312490475086,2.70437771142036
"4","loisirs",7650,408138.558797276,0,522.342946903473,0,0.0979060531694669,43.101019775762
"5","aménité",683,1639.95301014703,901.844826571923,2.0988408706782,0.0115419696131973,0.00874115481238508,3.84810411854189
"6","industrie",2,417.514324966818,0,0.534342218290397,0,2.55963537697953e-05,0.0112682404642515
