"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",4558,20322.2971944809,11956.1747011065,13.5771733507164,0.0798783006541496,0.0304516539347588,79.6435435960161
"2","bâti",4,20625.7518830188,0,13.7799091374701,0,2.67236980559533e-05,0.0698934125458675
"3","loisirs",777,206502.223932558,0,137.962577006414,0,0.00519107834736893,13.5767953870348
"4","aménité",74,1631.00295004249,26.0449119659301,1.08966075913261,0.00017400409081785,0.000494388414035136,1.29302813209855
"5","environnement",310,43864.472772249,0,29.3055231437292,0,0.00207108659933638,5.41673947230474
