"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",795,0,26630.5274882178,0,0.0548384793883907,0.00163709078361512,32.7699917559769
"2","loisirs",1480,1638712.89220769,0,337.449279600565,0,0.00304766586132124,61.0057708161583
"3","aménité",43,26340.0456474423,921.528302208915,5.42403093955088,0.00189764212627259,8.85470486735224e-05,1.7724649629019
"4","bâti",42,10194.9139510989,0,2.09937102755891,0,8.64878149834405e-05,1.73124484748557
"5","environnement",66,254428.282806639,0,52.392729166512,0,0.000135909423545406,2.72052761747733
