"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",193,0,2690.04318111743,0,0.0156774236011483,0.00112479337739282,24.9032258064516
"2","religion",71,34066.9675693345,0,19.8540411968101,0,0.000413784092201506,9.16129032258065
"3","loisirs",418,20686.2798262602,0,12.0558500266696,0,0.00243608099352436,53.9354838709677
"4","aménité",67,17579.3749593682,23.8391778274939,10.2451629704677,0.000138933416284223,0.000390472312359167,8.64516129032258
"5","bâti",26,362266.460074037,0,211.12689903773,0,0.000151526568975199,3.35483870967742
