"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",9241,97069.2185833055,50828.2079362407,12.9422601761892,0.0677693609777764,0.0123210455419009,59.3513166345536
"2","loisirs",3559,2511116.90099533,89.5547611836053,334.807766456018,0.000119403559250867,0.00474522249579325,22.8580603725112
"3","aménité",1987,359985.820652567,0,47.9969883205157,0,0.00264927145241393,12.7617212588311
"4","bâti",221,514950.176773416,0,68.6584198661961,0,0.000294659784088313,1.4193962748876
"5","environnement",556,126458.822963275,0,16.8607825658013,0,0.00074131601788734,3.57096981374438
"6","industrie",6,63950.3811452352,0,8.52651832607255,0,7.99981314266914e-06,0.0385356454720617
