"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",10012,1981.40418861061,36140.3314459534,0.190041099306452,0.0346630352190008,0.0096027428285109,44.8064443947192
"2","loisirs",8408,3108366.33711519,133.702924029738,298.130668718714,0.000128237594374501,0.00806430899941267,37.6281047214142
"3","environnement",387,284521.017106121,0,27.2890746761529,0,0.000371180730586668,1.7319310807787
"4","aménité",1837,52430.7991586113,1681.49262335737,5.02876029378196,0.00161275881243897,0.00176190956611811,8.22107854106064
"5","religion",15,432.916742786766,0,0.0415220550053727,0,1.43868500227391e-05,0.0671291116580891
"6","industrie",115,11538.9149268642,0,1.1067242565196,0,0.000110299183507666,0.514656522712016
"7","bâti",1571,560936.974806627,0,53.8007741916793,0,0.00150678275904821,7.03065562765719
