"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",2242,16226.0865514011,41380.0611392583,5.73351287580781,0.14621708850873,0.00792214180963502,29.4728539503089
"2","loisirs",2058,410390.771275332,3680.13605395124,145.012216209129,0.0130038178849921,0.00727197495282287,27.0540291836466
"3","environnement",349,81707.8749087299,0,28.8716044598964,0,0.0012331969186274,4.58787958459314
"4","bâti",1617,2158051.85041919,0,762.550971969943,0,0.0057136946057894,21.2567372157224
"5","aménité",1120,32454.6817207472,577.225459560878,11.4679121756614,0.00203963512344916,0.00395753738929136,14.7232811883791
"6","industrie",221,129533.689094013,0,45.7709301573571,0,0.000780906931279813,2.90521887734981
