"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",4686,41.494903058745,48033.0791277087,0.0110396169112543,0.12779082575206,0.0124669877582074,56.9795719844358
"2","loisirs",1962,667282.292699944,3711.72831647613,177.528812939795,0.00987496190424664,0.00521985274895497,23.8570038910506
"3","environnement",440,66002.3625182854,0,17.5597662297958,0,0.00117060917917441,5.35019455252918
"4","religion",3,0,0,0,0,7.98142622164368e-06,0.0364785992217899
"5","aménité",1115,0,10.75112890267,0,2.86031140453472e-05,0.00296643007904424,13.5578793774319
"6","bâti",18,0,0,0,0,4.78885573298621e-05,0.218871595330739
