"","group","nb_tot","area_tot","length_tot","area_rel","length_rel","n_rel","n_perc"
"1","infrastructure",5287,2284.79992175102,30415.2954405008,0.325967214475878,0.0433928110633107,0.00754284279567552,53.4904896802914
"2","loisirs",3026,2699861.54080138,2461.6773841753,385.183112773881,0.00351201920228939,0.00431712545861814,30.6151355726427
"3","industrie",2,3816.26691132038,0,0.544458130857344,0,2.85335456617194e-06,0.0202347227842979
"4","environnement",406,368027.806190203,0,52.5056910635528,0,0.000579230976932904,4.10764872521247
"5","bâti",402,79402.5016129131,0,11.328174527134,0,0.00057352426780056,4.06717927964387
"6","aménité",761,41006.2377601025,511.389065760305,5.85026678771603,0.000729587162938784,0.00108570141242842,7.69931201942533
