"id","key","value","type","nb","area","length"
971,"highway","cycleway","lines",55,NA,6694.80966938357
971,"highway","footway","lines",272,NA,15264.4326898816
971,"highway","path","lines",4,NA,87.3184978414526
971,"route","hiking","lines",6,NA,1062.07598907404
971,"leisure","park","multipolygons",0,0,NA
971,"tourism","attraction","multipolygons",0,0,NA
971,"amenity","parking","multipolygons",0,0,NA
971,"amenity","place_of_worship","points",22,NA,NA
971,"amenity","bench","points",137,NA,NA
971,"amenity","drinking_water","points",10,NA,NA
971,"amenity","bench","points",137,NA,NA
971,"amenity","shelter","points",20,NA,NA
971,"amenity","recycling","points",45,NA,NA
971,"amenity","waste_basket","points",63,NA,NA
971,"amenity","bicycle_parking","points",40,NA,NA
971,"amenity","fountain","points",19,NA,NA
971,"amenity","parking","points",156,NA,NA
971,"building","industrial","points",38,NA,NA
971,"highway","pedestrian","points",2925,NA,NA
971,"highway","footway","points",1412,NA,NA
971,"highway","path","points",28,NA,NA
971,"highway","cycleway","points",553,NA,NA
971,"historic","memorial","points",3,NA,NA
971,"historic","monument","points",1,NA,NA
971,"leisure","garden","points",948,NA,NA
971,"leisure","park","points",198,NA,NA
971,"man_made","bridge","points",214,NA,NA
971,"man_made","groyne","points",8,NA,NA
971,"man_made","pier","points",19,NA,NA
971,"natural","tree","points",2579,NA,NA
971,"tourism","museum","points",1,NA,NA
971,"tourism","viewpoint","points",1,NA,NA
971,"tourism","artwork","points",3,NA,NA
971,"tourism","attraction","points",114,NA,NA
971,"tourism","information","points",32,NA,NA
971,"amenity","place_of_worship","polygons",1,1702.56242297962,NA
971,"leisure","garden","polygons",44,11604.7858125109,NA
971,"leisure","park","polygons",2,493954.250487402,NA
971,"tourism","attraction","polygons",1,2640.82622978836,NA
971,"man_made","bridge","polygons",15,8044.78009309008,NA
971,"building","industrial","polygons",5,11322.577180441,NA
971,"landuse","industrial","polygons",2,33065.4049233289,NA
971,"landuse","grass","polygons",58,295625.266931383,NA
971,"natural","grassland","polygons",7,12469.196882247,NA
971,"natural","scrub","polygons",17,56381.4874021994,NA
971,"natural","wood","polygons",1,2360.22331205755,NA
971,"natural","bare_rock","polygons",8,59.5341256781248,NA
971,"natural","sand","polygons",1,262.963101934642,NA
971,"natural","scree","polygons",13,25631.3459221975,NA
971,"amenity","parking","polygons",8,48900.244935018,NA
971,"highway","steps","lines",53,NA,419.846587775011
