"id","key","value","type","nb","area","length"
370,"highway","footway","lines",104,NA,5548.93411980552
370,"highway","path","lines",5,NA,429.15323074774
370,"landuse","residential","multipolygons",1,10192.5808708016,NA
370,"amenity","cafe","points",2,NA,NA
370,"amenity","restaurant","points",1,NA,NA
370,"amenity","toilets","points",1,NA,NA
370,"amenity","fountain","points",21,NA,NA
370,"amenity","parking","points",7,NA,NA
370,"highway","pedestrian","points",1347,NA,NA
370,"highway","footway","points",693,NA,NA
370,"highway","path","points",70,NA,NA
370,"leisure","garden","points",15,NA,NA
370,"leisure","marina","points",1,NA,NA
370,"leisure","park","points",210,NA,NA
370,"leisure","playground","points",1,NA,NA
370,"man_made","bridge","points",11,NA,NA
370,"man_made","pier","points",15,NA,NA
370,"natural","tree","points",86,NA,NA
370,"tourism","artwork","points",1,NA,NA
370,"tourism","attraction","points",2,NA,NA
370,"leisure","garden","polygons",1,2619.2891818285,NA
370,"leisure","park","polygons",6,63433.5188804087,NA
370,"leisure","playground","polygons",1,126.51896462962,NA
370,"man_made","bridge","polygons",3,1627.59541490674,NA
370,"landuse","grass","polygons",112,21932.2363861245,NA
370,"landuse","construction","polygons",1,120.295070707798,NA
370,"amenity","parking","polygons",1,543.667650014162,NA
370,"landuse","recreation_ground","polygons",1,2654.74761731923,NA
370,"landuse","military","polygons",1,5146.50364992023,NA
370,"landuse","recreation_ground","points",17,NA,NA
370,"highway","bus_stop","points",4,NA,NA
370,"landuse","military","points",10,NA,NA
370,"railway","subway","points",14,NA,NA
370,"highway","steps","lines",2,NA,26.0449119659301
