"id","key","value","type","nb","area","length"
105,"highway","cycleway","lines",20,NA,7791.71203112264
105,"highway","footway","lines",29,NA,1028.61460125353
105,"highway","path","lines",2,NA,114.513228522854
105,"route","hiking","lines",24,NA,7807.19922485438
105,"amenity","theatre","points",9,NA,NA
105,"amenity","drinking_water","points",2,NA,NA
105,"amenity","toilets","points",8,NA,NA
105,"amenity","bicycle_parking","points",8,NA,NA
105,"amenity","parking","points",25,NA,NA
105,"building","school","points",12,NA,NA
105,"highway","footway","points",149,NA,NA
105,"highway","path","points",10,NA,NA
105,"highway","cycleway","points",723,NA,NA
105,"historic","memorial","points",2,NA,NA
105,"leisure","park","points",181,NA,NA
105,"man_made","bridge","points",29,NA,NA
105,"man_made","wastewater_plant","points",10,NA,NA
105,"amenity","theatre","polygons",1,468.653169596568,NA
105,"leisure","park","polygons",3,530557.801758019,NA
105,"man_made","bridge","polygons",5,8911.25233553443,NA
105,"man_made","wastewater_plant","polygons",0,0,NA
105,"landuse","grass","polygons",6,7570.7774959146,NA
105,"amenity","parking","polygons",3,16695.0009296685,NA
105,"building","school","polygons",1,130.453738844953,NA
105,"leisure","fitness_station","polygons",1,155.227102359757,NA
105,"highway","bus_stop","points",1,NA,NA
105,"leisure","fitness_station","points",12,NA,NA
105,"highway","steps","lines",5,NA,91.4968008012632
105,"highway","track","lines",1,NA,4.09708900351506
