"id","key","value","type","nb","area","length"
705,"highway","cycleway","lines",4,NA,3122.62388698431
705,"highway","footway","lines",145,NA,15703.5423052992
705,"highway","path","lines",1,NA,15.6757551171338
705,"highway","pedestrian","lines",40,NA,5174.6976164537
705,"leisure","track","lines",6,NA,927.932079119032
705,"leisure","track","multipolygons",0,0,NA
705,"landuse","grass","multipolygons",0,0,NA
705,"amenity","place_of_worship","points",1,NA,NA
705,"amenity","bar","points",1,NA,NA
705,"amenity","fast_food","points",1,NA,NA
705,"amenity","ice_cream","points",1,NA,NA
705,"amenity","bench","points",248,NA,NA
705,"amenity","drinking_water","points",2,NA,NA
705,"amenity","bench","points",248,NA,NA
705,"amenity","shelter","points",61,NA,NA
705,"amenity","shower","points",2,NA,NA
705,"amenity","toilets","points",2,NA,NA
705,"amenity","waste_basket","points",43,NA,NA
705,"amenity","bicycle_parking","points",6,NA,NA
705,"amenity","fountain","points",1,NA,NA
705,"building","office","points",2,NA,NA
705,"highway","pedestrian","points",1249,NA,NA
705,"highway","footway","points",746,NA,NA
705,"highway","path","points",2,NA,NA
705,"highway","cycleway","points",147,NA,NA
705,"historic","memorial","points",4,NA,NA
705,"leisure","garden","points",85,NA,NA
705,"leisure","picnic_table","points",20,NA,NA
705,"leisure","pitch","points",34,NA,NA
705,"leisure","playground","points",5,NA,NA
705,"leisure","track","points",89,NA,NA
705,"man_made","bridge","points",1,NA,NA
705,"man_made","pier","points",4,NA,NA
705,"natural","tree","points",314,NA,NA
705,"tourism","museum","points",1,NA,NA
705,"tourism","viewpoint","points",2,NA,NA
705,"tourism","artwork","points",15,NA,NA
705,"tourism","attraction","points",2,NA,NA
705,"tourism","information","points",1,NA,NA
705,"leisure","garden","polygons",15,9959.4164819892,NA
705,"leisure","park","polygons",4,192423.295788627,NA
705,"leisure","pitch","polygons",7,1074.03956873156,NA
705,"leisure","track","polygons",1,2124.2915646513,NA
705,"man_made","bridge","polygons",1,13.831634352915,NA
705,"landuse","grass","polygons",63,33001.1812591427,NA
705,"natural","beach","polygons",1,24207.4354616478,NA
705,"highway","bus_stop","points",1,NA,NA
705,"leisure","fitness_station","points",3,NA,NA
705,"highway","steps","lines",2,NA,10.75112890267
