"id","key","value","type","nb","area","length"
926,"highway","cycleway","lines",8,NA,1295.8777555677
926,"highway","footway","lines",72,NA,4686.27068942332
926,"highway","path","lines",6,NA,994.329830231598
926,"leisure","park","multipolygons",0,0,NA
926,"amenity","place_of_worship","points",38,NA,NA
926,"amenity","theatre","points",1,NA,NA
926,"amenity","bench","points",25,NA,NA
926,"amenity","bench","points",25,NA,NA
926,"amenity","recycling","points",1,NA,NA
926,"amenity","waste_basket","points",2,NA,NA
926,"amenity","bicycle_parking","points",2,NA,NA
926,"amenity","parking","points",118,NA,NA
926,"building","church","points",37,NA,NA
926,"building","boathouse","points",4,NA,NA
926,"building","industrial","points",20,NA,NA
926,"building","apartments","points",33,NA,NA
926,"highway","pedestrian","points",6,NA,NA
926,"highway","footway","points",332,NA,NA
926,"highway","path","points",72,NA,NA
926,"highway","cycleway","points",47,NA,NA
926,"historic","memorial","points",2,NA,NA
926,"leisure","marina","points",1,NA,NA
926,"leisure","park","points",136,NA,NA
926,"leisure","pitch","points",27,NA,NA
926,"leisure","playground","points",13,NA,NA
926,"man_made","bridge","points",83,NA,NA
926,"man_made","pier","points",4,NA,NA
926,"natural","tree","points",5,NA,NA
926,"shop","deli","points",1,NA,NA
926,"shop","car_repair","points",4,NA,NA
926,"shop","tobacco","points",1,NA,NA
926,"tourism","museum","points",22,NA,NA
926,"tourism","information","points",2,NA,NA
926,"amenity","place_of_worship","polygons",1,1119.93953295518,NA
926,"building","church","polygons",1,1119.93953295518,NA
926,"building","boathouse","polygons",1,322.388102245983,NA
926,"leisure","park","polygons",6,113686.828415465,NA
926,"leisure","pitch","polygons",3,18880.8315327689,NA
926,"leisure","playground","polygons",1,3762.38648206554,NA
926,"tourism","museum","polygons",1,5043.16851219535,NA
926,"man_made","bridge","polygons",4,30126.6330134664,NA
926,"building","industrial","polygons",2,8548.24677878618,NA
926,"landuse","industrial","polygons",1,20584.0599271059,NA
926,"landuse","brownfield","polygons",2,27936.9392259568,NA
926,"landuse","grass","polygons",8,5097.36631138297,NA
926,"natural","scrub","polygons",2,28146.3930279929,NA
926,"building","apartments","polygons",2,6645.59413468838,NA
926,"building","house","polygons",18,3927.17972585093,NA
926,"amenity","parking","polygons",8,45399.7013366725,NA
926,"power","substation","polygons",1,14409.4295712933,NA
926,"building","warehouse","polygons",2,33279.1625826955,NA
926,"building","semidetached_house","polygons",16,2097.18860948086,NA
926,"building","shed","polygons",5,86.5203187901061,NA
926,"power","substation","points",11,NA,NA
926,"building","warehouse","points",28,NA,NA
926,"building","semidetached_house","points",52,NA,NA
926,"building","shed","points",17,NA,NA
926,"highway","steps","lines",2,NA,26.1018037557556
926,"highway","track","lines",5,NA,1813.1975563267
