"id","key","value","type","nb","area","length"
908,"highway","cycleway","lines",2,NA,31.8435990263045
908,"highway","footway","lines",410,NA,14370.0085523505
908,"landuse","grass","multipolygons",1,1856.97507740557,NA
908,"building","office","multipolygons",0,0,NA
908,"landuse","commercial","multipolygons",0,0,NA
908,"amenity","bar","points",4,NA,NA
908,"amenity","cafe","points",8,NA,NA
908,"amenity","restaurant","points",7,NA,NA
908,"amenity","bench","points",81,NA,NA
908,"amenity","bench","points",81,NA,NA
908,"amenity","shelter","points",31,NA,NA
908,"amenity","toilets","points",10,NA,NA
908,"amenity","waste_basket","points",11,NA,NA
908,"amenity","bicycle_parking","points",5,NA,NA
908,"amenity","fountain","points",70,NA,NA
908,"amenity","parking","points",7,NA,NA
908,"building","hotel","points",29,NA,NA
908,"building","commercial","points",7,NA,NA
908,"building","kiosk","points",5,NA,NA
908,"building","apartments","points",55,NA,NA
908,"building","office","points",50,NA,NA
908,"building","retail","points",28,NA,NA
908,"highway","pedestrian","points",1912,NA,NA
908,"highway","footway","points",1642,NA,NA
908,"highway","cycleway","points",3,NA,NA
908,"historic","memorial","points",4,NA,NA
908,"historic","monument","points",4,NA,NA
908,"leisure","dog_park","points",6,NA,NA
908,"leisure","garden","points",1397,NA,NA
908,"leisure","park","points",666,NA,NA
908,"leisure","picnic_table","points",37,NA,NA
908,"leisure","playground","points",9,NA,NA
908,"man_made","breakwater","points",37,NA,NA
908,"man_made","bridge","points",180,NA,NA
908,"man_made","pier","points",4,NA,NA
908,"natural","tree","points",257,NA,NA
908,"shop","mall","points",7,NA,NA
908,"shop","clothes","points",1,NA,NA
908,"shop","gift","points",1,NA,NA
908,"shop","ticket","points",2,NA,NA
908,"tourism","hotel","points",40,NA,NA
908,"tourism","museum","points",1,NA,NA
908,"tourism","picnic_site","points",68,NA,NA
908,"tourism","artwork","points",14,NA,NA
908,"tourism","attraction","points",3,NA,NA
908,"amenity","cafe","polygons",1,179.055512279272,NA
908,"building","hotel","polygons",2,100.325168279756,NA
908,"building","commercial","polygons",1,45.6567017324269,NA
908,"building","kiosk","polygons",1,201.723200524226,NA
908,"leisure","dog_park","polygons",1,208.882499301806,NA
908,"leisure","garden","polygons",160,16614.7617767594,NA
908,"leisure","marina","polygons",0,0,NA
908,"leisure","park","polygons",11,118117.91632883,NA
908,"leisure","playground","polygons",2,403.013601111714,NA
908,"tourism","hotel","polygons",3,122.277819278475,NA
908,"landuse","industrial","polygons",1,208.757162483409,NA
908,"landuse","grass","polygons",37,10736.9744212608,NA
908,"historic","monument","polygons",1,52.5895878784359,NA
908,"building","apartments","polygons",2,4566.88889562339,NA
908,"building","office","polygons",4,3977.76589680291,NA
908,"building","retail","polygons",4,834.076383724809,NA
908,"landuse","commercial","polygons",8,20278.5109547138,NA
908,"landuse","construction","polygons",1,422.386278425343,NA
908,"landuse","residential","polygons",3,11090.5624711439,NA
908,"amenity","parking","polygons",3,37.7346024729195,NA
908,"amenity","marketplace","polygons",1,508.916400909424,NA
908,"landuse","retail","polygons",1,52.5736576616764,NA
908,"amenity","marketplace","points",14,NA,NA
908,"railway","subway","points",3,NA,NA
908,"landuse","retail","points",1,NA,NA
908,"amenity","boat_rental","points",1,NA,NA
908,"amenity","ferry_terminal","points",9,NA,NA
908,"highway","steps","lines",120,NA,901.844826571923
