"id","key","value","type","nb","area","length"
965,"highway","cycleway","lines",6,NA,1067.18906345768
965,"highway","footway","lines",90,NA,4333.06502024839
965,"highway","pedestrian","lines",12,NA,1571.81773839861
965,"route","ferry","lines",3,NA,10.4335278079826
965,"route","hiking","lines",23,NA,1487.32620868094
965,"man_made","bridge","multipolygons",0,0,NA
965,"amenity","place_of_worship","points",13,NA,NA
965,"amenity","bar","points",8,NA,NA
965,"amenity","cafe","points",4,NA,NA
965,"amenity","fast_food","points",15,NA,NA
965,"amenity","ice_cream","points",3,NA,NA
965,"amenity","pub","points",2,NA,NA
965,"amenity","restaurant","points",25,NA,NA
965,"amenity","nightclub","points",1,NA,NA
965,"amenity","theatre","points",3,NA,NA
965,"amenity","bench","points",56,NA,NA
965,"amenity","bench","points",56,NA,NA
965,"amenity","toilets","points",3,NA,NA
965,"amenity","waste_basket","points",9,NA,NA
965,"amenity","bicycle_repair_station","points",1,NA,NA
965,"amenity","bicycle_rental","points",3,NA,NA
965,"amenity","fountain","points",40,NA,NA
965,"amenity","parking","points",17,NA,NA
965,"building","hotel","points",13,NA,NA
965,"building","apartments","points",39,NA,NA
965,"building","residential","points",15,NA,NA
965,"building","office","points",71,NA,NA
965,"building","retail","points",24,NA,NA
965,"highway","pedestrian","points",133,NA,NA
965,"highway","footway","points",281,NA,NA
965,"highway","cycleway","points",39,NA,NA
965,"historic","memorial","points",1,NA,NA
965,"leisure","marina","points",18,NA,NA
965,"leisure","park","points",59,NA,NA
965,"leisure","pitch","points",8,NA,NA
965,"man_made","bridge","points",3,NA,NA
965,"man_made","pier","points",110,NA,NA
965,"natural","tree","points",81,NA,NA
965,"shop","bakery","points",1,NA,NA
965,"shop","confectionery","points",1,NA,NA
965,"shop","seafood","points",7,NA,NA
965,"shop","clothes","points",2,NA,NA
965,"shop","fashion_accessories","points",1,NA,NA
965,"shop","beauty","points",1,NA,NA
965,"shop","chemist","points",1,NA,NA
965,"shop","cosmetics","points",1,NA,NA
965,"shop","florist","points",1,NA,NA
965,"shop","books","points",1,NA,NA
965,"shop","gift","points",1,NA,NA
965,"shop","ticket","points",1,NA,NA
965,"tourism","hotel","points",14,NA,NA
965,"tourism","artwork","points",2,NA,NA
965,"tourism","gallery","points",1,NA,NA
965,"tourism","information","points",2,NA,NA
965,"amenity","place_of_worship","polygons",1,1389.51221925765,NA
965,"amenity","fast_food","polygons",1,11.9214577358216,NA
965,"building","hotel","polygons",1,8971.21750551462,NA
965,"leisure","park","polygons",3,31239.92039687,NA
965,"leisure","pitch","polygons",2,279.709530231368,NA
965,"tourism","hotel","polygons",1,4153.28022916615,NA
965,"landuse","grass","polygons",12,236.37757638772,NA
965,"natural","grassland","polygons",4,262.836737048347,NA
965,"building","apartments","polygons",3,17650.6438132748,NA
965,"building","residential","polygons",1,6956.92483711243,NA
965,"building","office","polygons",5,21204.3349694032,NA
965,"building","retail","polygons",3,2246.56399856508,NA
965,"amenity","parking","polygons",2,18461.7350865058,NA
965,"amenity","marketplace","polygons",1,3518.92624184489,NA
965,"landuse","military","polygons",1,18.6787958350033,NA
965,"amenity","police","polygons",2,6643.94390415261,NA
965,"leisure","swimming_pool","polygons",1,167.987977135926,NA
965,"amenity","events_venue","polygons",1,604.118912830949,NA
965,"amenity","marketplace","points",11,NA,NA
965,"amenity","pharmacy","points",1,NA,NA
965,"highway","bus_stop","points",1,NA,NA
965,"landuse","military","points",2,NA,NA
965,"railway","subway","points",44,NA,NA
965,"amenity","police","points",32,NA,NA
965,"leisure","swimming_pool","points",4,NA,NA
965,"amenity","events_venue","points",6,NA,NA
965,"amenity","boat_rental","points",1,NA,NA
965,"amenity","ferry_terminal","points",2,NA,NA
965,"highway","steps","lines",6,NA,11.9405452015164
