"id","key","value","type","nb","area","length"
626,"highway","footway","lines",1,NA,434.075897158417
626,"amenity","fast_food","points",1,NA,NA
626,"amenity","ice_cream","points",3,NA,NA
626,"amenity","pub","points",1,NA,NA
626,"amenity","restaurant","points",7,NA,NA
626,"amenity","theatre","points",1,NA,NA
626,"amenity","bench","points",7,NA,NA
626,"amenity","bench","points",7,NA,NA
626,"amenity","shelter","points",4,NA,NA
626,"amenity","toilets","points",2,NA,NA
626,"amenity","parking","points",25,NA,NA
626,"building","retail","points",8,NA,NA
626,"highway","footway","points",5,NA,NA
626,"leisure","park","points",10,NA,NA
626,"natural","tree","points",74,NA,NA
626,"shop","beverages","points",8,NA,NA
626,"shop","chocolate","points",1,NA,NA
626,"shop","greengrocer","points",16,NA,NA
626,"shop","pastry","points",1,NA,NA
626,"shop","seafood","points",2,NA,NA
626,"shop","gift","points",1,NA,NA
626,"shop","travel_agency","points",1,NA,NA
626,"tourism","attraction","points",13,NA,NA
626,"leisure","park","polygons",1,1074.91781530716,NA
626,"landuse","grass","polygons",1,322.522574722767,NA
626,"natural","wood","polygons",1,311.436124477535,NA
626,"building","retail","polygons",1,630.901441525668,NA
626,"amenity","parking","polygons",2,9424.07628440391,NA
626,"amenity","marketplace","polygons",1,21237.7932105102,NA
626,"building","warehouse","polygons",2,5771.85014140606,NA
626,"amenity","marketplace","points",7,NA,NA
626,"highway","bus_stop","points",3,NA,NA
626,"amenity","police","points",1,NA,NA
626,"building","warehouse","points",8,NA,NA
626,"historic","tomb","points",8,NA,NA
