"id","key","value","type","nb","area","length"
712,"highway","cycleway","lines",22,NA,2626.04840028912
712,"highway","footway","lines",121,NA,9849.477498119
712,"highway","path","lines",49,NA,2732.12182184228
712,"leisure","pitch","multipolygons",0,0,NA
712,"leisure","playground","multipolygons",0,0,NA
712,"tourism","artwork","multipolygons",0,0,NA
712,"tourism","attraction","multipolygons",0,0,NA
712,"landuse","industrial","multipolygons",0,0,NA
712,"landuse","grass","multipolygons",1,67.4701669616625,NA
712,"natural","scrub","multipolygons",0,0,NA
712,"building","retail","multipolygons",0,0,NA
712,"amenity","parking","multipolygons",0,0,NA
712,"amenity","bar","points",3,NA,NA
712,"amenity","fast_food","points",7,NA,NA
712,"amenity","ice_cream","points",1,NA,NA
712,"amenity","cinema","points",1,NA,NA
712,"amenity","theatre","points",8,NA,NA
712,"amenity","bench","points",98,NA,NA
712,"amenity","bench","points",98,NA,NA
712,"amenity","toilets","points",13,NA,NA
712,"amenity","waste_basket","points",91,NA,NA
712,"amenity","bicycle_parking","points",29,NA,NA
712,"amenity","bicycle_rental","points",1,NA,NA
712,"amenity","parking","points",19,NA,NA
712,"building","commercial","points",8,NA,NA
712,"building","kiosk","points",6,NA,NA
712,"building","office","points",44,NA,NA
712,"building","retail","points",81,NA,NA
712,"highway","pedestrian","points",1462,NA,NA
712,"highway","footway","points",575,NA,NA
712,"highway","path","points",199,NA,NA
712,"highway","cycleway","points",67,NA,NA
712,"historic","memorial","points",1,NA,NA
712,"leisure","garden","points",6,NA,NA
712,"leisure","park","points",157,NA,NA
712,"leisure","pitch","points",314,NA,NA
712,"leisure","playground","points",42,NA,NA
712,"man_made","embankment","points",48,NA,NA
712,"man_made","pier","points",8,NA,NA
712,"man_made","pipeline","points",37,NA,NA
712,"man_made","wastewater_plant","points",4,NA,NA
712,"man_made","water_tower","points",1,NA,NA
712,"natural","tree","points",307,NA,NA
712,"natural","tree_row","points",7,NA,NA
712,"shop","mall","points",1,NA,NA
712,"shop","doityourself","points",1,NA,NA
712,"shop","ticket","points",6,NA,NA
712,"tourism","museum","points",3,NA,NA
712,"tourism","viewpoint","points",1,NA,NA
712,"tourism","artwork","points",47,NA,NA
712,"tourism","attraction","points",46,NA,NA
712,"tourism","information","points",1,NA,NA
712,"amenity","theatre","polygons",1,769.137062726542,NA
712,"building","commercial","polygons",1,1518.89197150478,NA
712,"building","kiosk","polygons",1,126.050311584026,NA
712,"leisure","garden","polygons",1,4684.61122325063,NA
712,"leisure","park","polygons",6,799035.080309904,NA
712,"leisure","pitch","polygons",49,87188.7713027065,NA
712,"leisure","playground","polygons",3,1752.09675540403,NA
712,"tourism","artwork","polygons",3,833.271888510324,NA
712,"tourism","attraction","polygons",1,96.6243183650076,NA
712,"man_made","wastewater_plant","polygons",1,761.599973917007,NA
712,"landuse","forest","polygons",3,2826.24486151338,NA
712,"landuse","brownfield","polygons",1,1908.13345566019,NA
712,"landuse","grass","polygons",14,6130.81561271916,NA
712,"natural","scrub","polygons",9,113918.206008149,NA
712,"natural","wood","polygons",5,51868.609305948,NA
712,"natural","beach","polygons",1,1715.6409079209,NA
712,"natural","sand","polygons",7,9202.55713981017,NA
712,"building","office","polygons",1,26406.4749494921,NA
712,"building","retail","polygons",1,19.0057861116875,NA
712,"amenity","parking","polygons",2,13668.7459200323,NA
712,"leisure","swimming_pool","polygons",4,2805.55118455738,NA
712,"building","shed","polygons",1,42.0198020339012,NA
712,"landuse","recreation_ground","points",46,NA,NA
712,"highway","bus_stop","points",2,NA,NA
712,"amenity","police","points",1,NA,NA
712,"landuse","retail","points",27,NA,NA
712,"leisure","sports_centre","points",27,NA,NA
712,"leisure","fitness_station","points",15,NA,NA
712,"leisure","swimming_pool","points",22,NA,NA
712,"amenity","ferry_terminal","points",3,NA,NA
712,"building","shed","points",5,NA,NA
712,"amenity","arts_centre","points",16,NA,NA
712,"amenity","bbq","points",32,NA,NA
712,"leisure","fitness_station","multipolygons",0,0,NA
712,"amenity","ferry_terminal","multipolygons",1,1.86264514923096e-09,NA
712,"amenity","arts_centre","multipolygons",0,0,NA
712,"highway","steps","lines",53,NA,511.389065760305
712,"highway","track","lines",8,NA,2461.6773841753
