"id","key","value","type","nb","area","length"
104,"highway","footway","lines",18,NA,984.999605507894
104,"highway","path","lines",2,NA,435.500867861552
104,"highway","pedestrian","lines",7,NA,161.668469282467
104,"amenity","place_of_worship","points",3,NA,NA
104,"amenity","cafe","points",1,NA,NA
104,"highway","pedestrian","points",10,NA,NA
104,"highway","footway","points",43,NA,NA
104,"highway","path","points",12,NA,NA
104,"leisure","park","points",4,NA,NA
104,"man_made","bridge","points",2,NA,NA
104,"natural","tree","points",4,NA,NA
104,"tourism","hotel","points",1,NA,NA
104,"leisure","park","polygons",2,3127.67348237336,NA
104,"man_made","bridge","polygons",2,197.943707130034,NA
104,"natural","sand","polygons",1,36433.9985912293,NA
104,"tourism","guest_house","points",1,NA,NA
104,"highway","steps","lines",5,NA,28.5875636031883
104,"highway","track","lines",1,NA,247.661109118611
