"id","key","value","type","nb","area","length"
635,"highway","pedestrian","lines",3,NA,56.5150360783482
635,"amenity","cafe","points",2,NA,NA
635,"amenity","shelter","points",3,NA,NA
635,"amenity","toilets","points",2,NA,NA
635,"amenity","fountain","points",4,NA,NA
635,"amenity","parking","points",4,NA,NA
635,"building","hotel","points",2,NA,NA
635,"building","residential","points",9,NA,NA
635,"building","office","points",8,NA,NA
635,"highway","pedestrian","points",5,NA,NA
635,"highway","footway","points",42,NA,NA
635,"leisure","playground","points",1,NA,NA
635,"man_made","pier","points",19,NA,NA
635,"natural","tree","points",3,NA,NA
635,"shop","bakery","points",1,NA,NA
635,"shop","convenience","points",1,NA,NA
635,"tourism","hotel","points",6,NA,NA
635,"tourism","viewpoint","points",1,NA,NA
635,"tourism","artwork","points",1,NA,NA
635,"tourism","attraction","points",78,NA,NA
635,"tourism","information","points",9,NA,NA
635,"building","hotel","polygons",1,210.9953229893,NA
635,"tourism","hotel","polygons",2,2869.13352091238,NA
635,"tourism","attraction","polygons",2,40881.3413622305,NA
635,"building","residential","polygons",1,1063.12142140418,NA
635,"building","office","polygons",1,383.14677477628,NA
635,"amenity","parking","polygons",1,1309.09083011001,NA
635,"landuse","recreation_ground","polygons",1,12218.4060435593,NA
635,"landuse","recreation_ground","points",38,NA,NA
635,"highway","bus_stop","points",2,NA,NA
635,"amenity","police","points",1,NA,NA
