"id","key","value","type","nb","area","length"
347,"highway","footway","lines",10,NA,721.025784214531
347,"highway","path","lines",1,NA,27.6235569225883
347,"highway","pedestrian","lines",17,NA,5487.91730600996
347,"route","ferry","lines",1,NA,4.99740096966452
347,"tourism","museum","multipolygons",0,0,NA
347,"landuse","residential","multipolygons",1,207886.37426856,NA
347,"amenity","place_of_worship","points",29,NA,NA
347,"amenity","cafe","points",9,NA,NA
347,"amenity","restaurant","points",12,NA,NA
347,"amenity","drinking_water","points",1,NA,NA
347,"amenity","toilets","points",1,NA,NA
347,"highway","pedestrian","points",126,NA,NA
347,"highway","footway","points",25,NA,NA
347,"highway","path","points",1,NA,NA
347,"natural","tree","points",4,NA,NA
347,"shop","clothes","points",1,NA,NA
347,"tourism","hostel","points",7,NA,NA
347,"tourism","hotel","points",16,NA,NA
347,"tourism","museum","points",12,NA,NA
347,"tourism","picnic_site","points",1,NA,NA
347,"tourism","viewpoint","points",3,NA,NA
347,"tourism","attraction","points",77,NA,NA
347,"amenity","place_of_worship","polygons",6,1706.21988430806,NA
347,"tourism","hotel","polygons",2,1398.80614857748,NA
347,"tourism","museum","polygons",2,1405.82982835174,NA
347,"tourism","attraction","polygons",1,5520.97737112187,NA
347,"landuse","grass","polygons",1,267.937498811632,NA
347,"landuse","residential","polygons",1,207886.37426856,NA
347,"leisure","swimming_pool","polygons",1,95.4682754576206,NA
347,"amenity","police","points",1,NA,NA
347,"leisure","swimming_pool","points",4,NA,NA
347,"tourism","guest_house","points",16,NA,NA
347,"amenity","ferry_terminal","points",1,NA,NA
347,"highway","steps","lines",11,NA,218.100772128785
