"id","key","value","type","nb","area","length"
403,"highway","cycleway","lines",1,NA,11247.2317669649
403,"highway","footway","lines",135,NA,10741.0779321573
403,"highway","path","lines",8,NA,12755.4730793247
403,"highway","pedestrian","lines",1,NA,15.5874413706461
403,"amenity","cafe","points",4,NA,NA
403,"amenity","theatre","points",20,NA,NA
403,"amenity","toilets","points",9,NA,NA
403,"amenity","bicycle_rental","points",5,NA,NA
403,"amenity","parking","points",4,NA,NA
403,"building","commercial","points",16,NA,NA
403,"building","apartments","points",4,NA,NA
403,"building","house","points",32,NA,NA
403,"building","office","points",13,NA,NA
403,"highway","pedestrian","points",1,NA,NA
403,"highway","footway","points",738,NA,NA
403,"highway","path","points",174,NA,NA
403,"highway","cycleway","points",92,NA,NA
403,"leisure","garden","points",12,NA,NA
403,"leisure","park","points",132,NA,NA
403,"leisure","pitch","points",63,NA,NA
403,"leisure","playground","points",73,NA,NA
403,"leisure","track","points",71,NA,NA
403,"man_made","pier","points",1,NA,NA
403,"natural","tree","points",9,NA,NA
403,"shop","gift","points",1,NA,NA
403,"tourism","museum","points",34,NA,NA
403,"tourism","artwork","points",14,NA,NA
403,"tourism","attraction","points",37,NA,NA
403,"tourism","information","points",1,NA,NA
403,"amenity","cafe","polygons",1,100.988762073219,NA
403,"amenity","theatre","polygons",1,1464.87340851687,NA
403,"building","commercial","polygons",3,1353.87146967358,NA
403,"leisure","garden","polygons",1,5259.40302390605,NA
403,"leisure","park","polygons",6,190787.446915897,NA
403,"leisure","pitch","polygons",8,12865.6618977067,NA
403,"leisure","playground","polygons",3,1486.82161910646,NA
403,"leisure","track","polygons",2,24061.5934660565,NA
403,"tourism","museum","polygons",1,2679.5668480359,NA
403,"tourism","artwork","polygons",1,320.162525705993,NA
403,"tourism","attraction","polygons",2,25542.2637317181,NA
403,"landuse","industrial","polygons",1,23.6022321879864,NA
403,"building","apartments","polygons",1,172.388515368104,NA
403,"building","house","polygons",8,2525.26855934411,NA
403,"building","office","polygons",3,2582.85512529686,NA
403,"landuse","residential","polygons",3,59570.1472363248,NA
403,"amenity","parking","polygons",1,699.722639447078,NA
403,"landuse","recreation_ground","polygons",2,36175.3273966566,NA
403,"leisure","sports_centre","polygons",1,33245.3190950155,NA
403,"leisure","swimming_pool","polygons",1,129.439229313284,NA
403,"landuse","recreation_ground","points",45,NA,NA
403,"railway","subway","points",2,NA,NA
403,"leisure","sports_centre","points",11,NA,NA
403,"leisure","swimming_pool","points",4,NA,NA
403,"highway","steps","lines",32,NA,276.124109493765
