"id","key","value","type","nb","area","length"
724,"highway","cycleway","lines",68,NA,5177.78295633876
724,"highway","footway","lines",331,NA,14519.2096105902
724,"highway","path","lines",1,NA,91.863942818707
724,"highway","pedestrian","lines",4,NA,526.898804857785
724,"amenity","parking","multipolygons",0,0,NA
724,"building","parking","multipolygons",0,0,NA
724,"amenity","bar","points",5,NA,NA
724,"amenity","cafe","points",12,NA,NA
724,"amenity","ice_cream","points",1,NA,NA
724,"amenity","pub","points",24,NA,NA
724,"amenity","restaurant","points",11,NA,NA
724,"amenity","cinema","points",1,NA,NA
724,"amenity","nightclub","points",1,NA,NA
724,"amenity","bench","points",145,NA,NA
724,"amenity","drinking_water","points",15,NA,NA
724,"amenity","bench","points",145,NA,NA
724,"amenity","shelter","points",4,NA,NA
724,"amenity","telephone","points",8,NA,NA
724,"amenity","toilets","points",13,NA,NA
724,"amenity","recycling","points",2,NA,NA
724,"amenity","waste_basket","points",62,NA,NA
724,"amenity","waste_disposal","points",1,NA,NA
724,"amenity","bicycle_parking","points",36,NA,NA
724,"amenity","bicycle_repair_station","points",1,NA,NA
724,"amenity","bicycle_rental","points",2,NA,NA
724,"amenity","parking","points",45,NA,NA
724,"building","hotel","points",4,NA,NA
724,"building","commercial","points",60,NA,NA
724,"building","apartments","points",11,NA,NA
724,"building","retail","points",8,NA,NA
724,"building","construction","points",10,NA,NA
724,"building","parking","points",24,NA,NA
724,"highway","pedestrian","points",1149,NA,NA
724,"highway","footway","points",890,NA,NA
724,"highway","path","points",3,NA,NA
724,"highway","cycleway","points",262,NA,NA
724,"historic","memorial","points",3,NA,NA
724,"leisure","garden","points",87,NA,NA
724,"leisure","marina","points",2,NA,NA
724,"leisure","park","points",134,NA,NA
724,"leisure","picnic_table","points",14,NA,NA
724,"leisure","playground","points",12,NA,NA
724,"man_made","bridge","points",260,NA,NA
724,"man_made","embankment","points",25,NA,NA
724,"man_made","pier","points",13,NA,NA
724,"man_made","pipeline","points",1,NA,NA
724,"natural","tree","points",301,NA,NA
724,"natural","tree_row","points",28,NA,NA
724,"shop","alcohol","points",1,NA,NA
724,"shop","bakery","points",1,NA,NA
724,"shop","confectionery","points",1,NA,NA
724,"shop","convenience","points",1,NA,NA
724,"shop","clothes","points",1,NA,NA
724,"shop","fashion_accessories","points",1,NA,NA
724,"shop","florist","points",1,NA,NA
724,"shop","art","points",1,NA,NA
724,"shop","collector","points",1,NA,NA
724,"shop","newsagent","points",2,NA,NA
724,"shop","ticket","points",4,NA,NA
724,"shop","bookmaker","points",1,NA,NA
724,"tourism","hotel","points",80,NA,NA
724,"tourism","museum","points",48,NA,NA
724,"tourism","viewpoint","points",10,NA,NA
724,"tourism","artwork","points",87,NA,NA
724,"tourism","attraction","points",69,NA,NA
724,"tourism","information","points",25,NA,NA
724,"amenity","pub","polygons",1,1179.15783560276,NA
724,"building","hotel","polygons",1,5227.12567594647,NA
724,"building","commercial","polygons",1,20075.0770005658,NA
724,"leisure","garden","polygons",12,772.276677852497,NA
724,"leisure","park","polygons",6,190112.831479828,NA
724,"leisure","playground","polygons",1,1944.37395487912,NA
724,"tourism","hotel","polygons",2,8213.93441693485,NA
724,"tourism","museum","polygons",2,9507.10903260112,NA
724,"tourism","artwork","polygons",3,425.756732868496,NA
724,"tourism","attraction","polygons",2,65197.1240765974,NA
724,"landuse","meadow","polygons",2,7823.77120880783,NA
724,"landuse","brownfield","polygons",2,87626.8729581833,NA
724,"landuse","grass","polygons",10,42692.0050145336,NA
724,"natural","grassland","polygons",2,2663.74329240248,NA
724,"natural","heath","polygons",2,362.356153309345,NA
724,"natural","scrub","polygons",1,186.915518853813,NA
724,"natural","wood","polygons",4,21334.1248550415,NA
724,"natural","wetland","polygons",2,790.046914309263,NA
724,"natural","sand","polygons",4,783.178515302599,NA
724,"natural","scree","polygons",3,1049.83144829515,NA
724,"building","apartments","polygons",1,1521.11064927187,NA
724,"building","retail","polygons",2,925.855304419994,NA
724,"building","construction","polygons",2,7020.28528529033,NA
724,"landuse","commercial","polygons",1,7569.52151451912,NA
724,"landuse","construction","polygons",5,42364.8870653901,NA
724,"amenity","parking","polygons",6,15128.2968574567,NA
724,"building","parking","polygons",2,7971.25024386775,NA
724,"landuse","recreation_ground","polygons",1,129.684911699966,NA
724,"tourism","theatre","polygons",1,1655.60767868161,NA
724,"amenity","events_venue","polygons",1,1365.74440138042,NA
724,"building","train_station","polygons",2,8002.83422595263,NA
724,"amenity","library","polygons",1,1730.13716745377,NA
724,"landuse","recreation_ground","points",48,NA,NA
724,"amenity","pharmacy","points",1,NA,NA
724,"amenity","bank","points",1,NA,NA
724,"highway","bus_stop","points",2,NA,NA
724,"amenity","police","points",1,NA,NA
724,"power","substation","points",1,NA,NA
724,"tourism","theatre","points",7,NA,NA
724,"amenity","events_venue","points",10,NA,NA
724,"building","train_station","points",63,NA,NA
724,"amenity","ferry_terminal","points",4,NA,NA
724,"amenity","library","points",8,NA,NA
724,"amenity","bbq","points",6,NA,NA
724,"building","train_station","multipolygons",0,0,NA
724,"highway","steps","lines",73,NA,1007.53947645441
