"id","key","value","type","nb","area","length"
138,"highway","cycleway","lines",12,NA,2054.09776456707
138,"highway","footway","lines",21,NA,1146.67195067208
138,"highway","path","lines",45,NA,12456.9549419567
138,"leisure","park","multipolygons",0,0,NA
138,"amenity","bench","points",70,NA,NA
138,"amenity","drinking_water","points",5,NA,NA
138,"amenity","bench","points",70,NA,NA
138,"amenity","shelter","points",41,NA,NA
138,"amenity","toilets","points",8,NA,NA
138,"amenity","recycling","points",51,NA,NA
138,"amenity","waste_basket","points",86,NA,NA
138,"amenity","waste_disposal","points",2,NA,NA
138,"amenity","bicycle_parking","points",6,NA,NA
138,"amenity","bicycle_rental","points",2,NA,NA
138,"amenity","fountain","points",8,NA,NA
138,"amenity","parking","points",43,NA,NA
138,"building","commercial","points",1,NA,NA
138,"highway","footway","points",99,NA,NA
138,"highway","path","points",584,NA,NA
138,"highway","cycleway","points",75,NA,NA
138,"historic","memorial","points",7,NA,NA
138,"leisure","park","points",49,NA,NA
138,"leisure","picnic_table","points",46,NA,NA
138,"leisure","pitch","points",8,NA,NA
138,"leisure","playground","points",24,NA,NA
138,"man_made","bridge","points",6,NA,NA
138,"natural","tree","points",1,NA,NA
138,"tourism","museum","points",1,NA,NA
138,"tourism","viewpoint","points",6,NA,NA
138,"tourism","artwork","points",1,NA,NA
138,"building","commercial","polygons",1,5.81604897626676,NA
138,"leisure","park","polygons",3,202669.462690026,NA
138,"leisure","pitch","polygons",2,1499.89779474959,NA
138,"leisure","playground","polygons",1,7051.69553908706,NA
138,"man_made","bridge","polygons",1,4134.34385103825,NA
138,"man_made","water_works","polygons",1,74.673401243519,NA
138,"historic","memorial","polygons",1,24.2768468211871,NA
138,"landuse","residential","polygons",1,0.157955197617412,NA
138,"amenity","parking","polygons",9,12190.1700465865,NA
138,"landuse","retail","polygons",1,979.440147936344,NA
138,"highway","bus_stop","points",4,NA,NA
138,"landuse","retail","points",2,NA,NA
138,"amenity","bbq","points",5,NA,NA
138,"highway","steps","lines",2,NA,32.8642097605363
